,title,release_date,budget,revenue,runtime,rating,vote_count,language
0,Avatar,12/10/2009,237000000.0,2787965087.0,162.0,7.2,11800.0,English
1,Pirates of the Caribbean: At World's End,5/19/2007,300000000.0,961000000.0,169.0,6.9,4500.0,English
2,Spectre,10/26/2015,245000000.0,880674609.0,148.0,6.3,4466.0,English
3,The Dark Knight Rises,7/16/2012,250000000.0,1084939099.0,165.0,7.6,9106.0,English
4,John Carter,3/7/2012,260000000.0,284139100.0,132.0,6.1,2124.0,English
5,Spider-Man 3,5/1/2007,258000000.0,890871626.0,139.0,5.9,3576.0,English
6,Tangled,11/24/2010,260000000.0,591794936.0,100.0,7.4,3330.0,English
7,Avengers: Age of Ultron,4/22/2015,280000000.0,1405403694.0,141.0,7.3,6767.0,English
8,Harry Potter and the Half-Blood Prince,7/7/2009,250000000.0,933959197.0,153.0,7.4,5293.0,English
9,Batman v Superman: Dawn of Justice,3/23/2016,250000000.0,873260194.0,151.0,5.7,7004.0,English
10,Superman Returns,6/28/2006,270000000.0,391081192.0,154.0,5.4,1400.0,English
11,Quantum of Solace,10/30/2008,200000000.0,586090727.0,106.0,6.1,2965.0,English
12,Pirates of the Caribbean: Dead Man's Chest,6/20/2006,200000000.0,1065659812.0,151.0,7.0,5246.0,English
13,The Lone Ranger,7/3/2013,255000000.0,89289910.0,149.0,5.9,2311.0,English
14,Man of Steel,6/12/2013,225000000.0,662845518.0,143.0,6.5,6359.0,English
15,The Chronicles of Narnia: Prince Caspian,5/15/2008,225000000.0,419651413.0,150.0,6.3,1630.0,English
16,The Avengers,4/25/2012,220000000.0,1519557910.0,143.0,7.4,11776.0,English
17,Pirates of the Caribbean: On Stranger Tides,5/14/2011,380000000.0,1045713802.0,136.0,6.4,4948.0,English
18,Men in Black 3,5/23/2012,225000000.0,624026776.0,106.0,6.2,4160.0,English
19,The Hobbit: The Battle of the Five Armies,12/10/2014,250000000.0,956019788.0,144.0,7.1,4760.0,English
20,The Amazing Spider-Man,6/27/2012,215000000.0,752215857.0,136.0,6.5,6586.0,English
21,Robin Hood,5/12/2010,200000000.0,310669540.0,140.0,6.2,1398.0,English
22,The Hobbit: The Desolation of Smaug,12/11/2013,250000000.0,958400000.0,161.0,7.6,4524.0,English
23,The Golden Compass,12/4/2007,180000000.0,372234864.0,113.0,5.8,1303.0,English
24,King Kong,12/14/2005,207000000.0,550000000.0,187.0,6.6,2337.0,English
25,Titanic,11/18/1997,200000000.0,1845034188.0,194.0,7.5,7562.0,English
26,Captain America: Civil War,4/27/2016,250000000.0,1153304495.0,147.0,7.1,7241.0,English
27,Battleship,4/11/2012,209000000.0,303025485.0,131.0,5.5,2114.0,English
28,Jurassic World,6/9/2015,150000000.0,1513528810.0,124.0,6.5,8662.0,English
29,Skyfall,10/25/2012,200000000.0,1108561013.0,143.0,6.9,7604.0,English
30,Spider-Man 2,6/25/2004,200000000.0,783766341.0,127.0,6.7,4321.0,English
31,Iron Man 3,4/18/2013,200000000.0,1215439994.0,130.0,6.8,8806.0,English
32,Alice in Wonderland,3/3/2010,200000000.0,1025491110.0,108.0,6.4,4645.0,English
33,X-Men: The Last Stand,5/24/2006,210000000.0,459359555.0,104.0,6.3,3525.0,English
34,Monsters University,6/20/2013,200000000.0,743559607.0,104.0,7.0,3528.0,English
35,Transformers: Revenge of the Fallen,6/19/2009,150000000.0,836297228.0,150.0,6.0,3138.0,English
36,Transformers: Age of Extinction,6/25/2014,210000000.0,1091405097.0,165.0,5.8,3095.0,English
37,Oz: The Great and Powerful,3/7/2013,200000000.0,491868548.0,130.0,5.7,3530.0,English
38,The Amazing Spider-Man 2,4/16/2014,200000000.0,705717432.0,142.0,6.5,4179.0,English
39,TRON: Legacy,12/10/2010,170000000.0,400062763.0,125.0,6.3,2841.0,English
40,Cars 2,6/11/2011,200000000.0,559852396.0,106.0,5.8,2033.0,English
41,Green Lantern,6/16/2011,200000000.0,219851172.0,114.0,5.1,2487.0,English
42,Toy Story 3,6/16/2010,200000000.0,1066969703.0,103.0,7.6,4597.0,English
43,Terminator Salvation,5/20/2009,200000000.0,371353001.0,115.0,5.9,2463.0,English
44,Furious 7,4/1/2015,190000000.0,1506249360.0,137.0,7.3,4176.0,English
45,World War Z,6/20/2013,200000000.0,531865000.0,116.0,6.7,5560.0,English
46,X-Men: Days of Future Past,5/15/2014,250000000.0,747862775.0,131.0,7.5,6032.0,English
47,Star Trek Into Darkness,5/5/2013,190000000.0,467365246.0,132.0,7.4,4418.0,English
48,Jack the Giant Slayer,2/27/2013,195000000.0,197687603.0,114.0,5.5,2598.0,English
49,The Great Gatsby,5/10/2013,105000000.0,351040419.0,143.0,7.3,3769.0,English
50,Prince of Persia: The Sands of Time,5/19/2010,150000000.0,335154643.0,116.0,6.2,2317.0,English
51,Pacific Rim,7/11/2013,180000000.0,407602906.0,131.0,6.7,4794.0,English
52,Transformers: Dark of the Moon,6/28/2011,195000000.0,1123746996.0,154.0,6.1,3299.0,English
53,Indiana Jones and the Kingdom of the Crystal Skull,5/21/2008,185000000.0,786636033.0,122.0,5.7,2495.0,English
54,The Good Dinosaur,11/14/2015,175000000.0,331926147.0,93.0,6.6,1736.0,English
55,Brave,6/21/2012,185000000.0,538983207.0,93.0,6.7,4641.0,English
56,Star Trek Beyond,7/7/2016,185000000.0,343471816.0,122.0,6.6,2568.0,English
57,WALL·E,6/22/2008,180000000.0,521311860.0,98.0,7.8,6296.0,English
58,Rush Hour 3,8/8/2007,140000000.0,258022233.0,91.0,6.1,783.0,English
59,2012,10/10/2009,200000000.0,769653595.0,158.0,5.6,4903.0,English
60,A Christmas Carol,11/4/2009,200000000.0,325233863.0,96.0,6.6,1095.0,English
61,Jupiter Ascending,2/4/2015,176000003.0,183987723.0,124.0,5.2,2768.0,English
62,The Legend of Tarzan,6/29/2016,180000000.0,356743061.0,109.0,5.5,2430.0,English
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12/7/2005,180000000.0,748806957.0,143.0,6.7,2629.0,English
64,X-Men: Apocalypse,5/18/2016,178000000.0,543934787.0,144.0,6.4,4721.0,English
65,The Dark Knight,7/16/2008,185000000.0,1004558444.0,152.0,8.2,12002.0,English
66,Up,5/13/2009,175000000.0,735099082.0,96.0,7.7,6870.0,English
67,Monsters vs Aliens,3/19/2009,175000000.0,381509870.0,94.0,6.0,1423.0,English
68,Iron Man,4/30/2008,140000000.0,585174222.0,126.0,7.4,8776.0,English
69,Hugo,11/22/2011,170000000.0,185770160.0,126.0,7.0,2141.0,English
70,Wild Wild West,6/29/1999,170000000.0,222104681.0,106.0,5.1,1020.0,English
71,The Mummy: Tomb of the Dragon Emperor,7/1/2008,145000000.0,401128639.0,112.0,5.2,1387.0,English
72,Suicide Squad,8/2/2016,175000000.0,745000000.0,123.0,5.9,7458.0,English
