,Rank,Title,Country,Language,Year,Worldwide_Gross(Million$)
0,1,Avatar,USA,English,2009,2847.25
1,2,Avengers: Endgame,USA,English,2019,2797.5
2,3,Titanic,USA,English,1997,2187.43
3,4,Star Wars: The Force Awakens,USA,English,2015,2068.22
4,5,Avengers: Infinity War,USA,English,2018,2048.36
5,6,Spider-Man: No Way Home,USA,English,2021,1892.75
6,7,Jurassic World,USA,English,2015,1671.54
7,8,The Lion King,USA,English,2019,1656.94
8,9,The Avengers,USA,English,2012,1518.81
9,10,Furious 7,USA,English,2015,1516.05
10,11,Frozen II,USA,English,2019,1450.03
11,12,Avengers: Age of Ultron,USA,English,2015,1402.81
12,13,Black Panther,USA,English,2018,1347.28
13,14,Harry Potter and the Deathly Hallows – Part 2,USA,English,2011,1342.03
14,15,Star Wars: The Last Jedi,USA,English,2017,1332.54
15,16,Jurassic World: Fallen Kingdom,USA,English,2018,1309.48
16,17,Frozen,USA,English,2013,1290.0
17,18,Beauty and the Beast,USA,English,2017,1263.52
18,19,Incredibles 2,USA,English,2018,1242.81
19,20,The Fate of the Furious,USA,English,2017,1238.76
20,21,Iron Man 3,USA,English,2013,1214.81
21,22,Minions,USA,English,2015,1159.4
22,23,Captain America: Civil War,USA,English,2016,1153.33
23,24,Aquaman,USA,English,2018,1148.49
24,25,The Lord of the Rings: The Return of the King,USA,English,2003,1146.03
25,26,Spider-Man: Far From Home,USA,English,2019,1131.93
26,27,Captain Marvel,USA,English,2019,1128.27
27,28,Transformers: Dark of the Moon,USA,English,2011,1123.79
28,29,Skyfall,USA,English,2012,1108.56
29,30,Transformers: Age of Extinction,USA,English,2014,1104.05
30,31,The Dark Knight Rises,USA,English,2012,1081.14
31,32,Joker,USA,English,2019,1074.25
32,33,Star Wars: The Rise of Skywalker,USA,English,2019,1074.14
33,34,Toy Story 4,USA,English,2019,1073.39
34,35,Toy Story 3,USA,English,2010,1066.97
35,36,Pirates of the Caribbean: Dead Man's Chest,USA,English,2006,1066.18
36,37,Rogue One: A Star Wars Story,USA,English,2016,1056.06
37,38,Aladdin,USA,English,2019,1050.69
38,39,Pirates of the Caribbean: On Stranger Tides,USA,English,2011,1045.71
39,40,Despicable Me 3,USA,English,2017,1034.8
40,41,Jurassic Park,USA,English,1993,1033.93
41,42,Finding Dory,USA,English,2016,1028.57
42,43,Star Wars: Episode I – The Phantom Menace,USA,English,1999,1027.04
43,44,Alice in Wonderland,USA,English,2010,1025.47
44,45,Zootopia,USA,English,2016,1023.78
45,46,The Hobbit: An Unexpected Journey,USA,English,2012,1017.0
46,47,Harry Potter and the Philosopher's Stone,USA,English,2001,1006.97
47,48,The Dark Knight,USA,English,2008,1005.97
48,49,Harry Potter and the Deathly Hallows – Part 1,USA,English,2010,977.04
49,50,Despicable Me 2,USA,English,2013,970.76
50,51,The Battle at Lake Changjin,China,Mandarin,2021,913.0
51,52,Wolf Warrior 2,China,Mandarin,2017,874.0
52,53,"Hi, Mom",China,Mandarin,2021,848.0
53,54,Ne Zha,China,Mandarin,2019,743.0
54,55,The Wandering Earth,China,Mandarin,2019,699.0
55,56,Detective Chinatown 3,China,Mandarin,2021,686.0
56,57,The Battle at Lake Changjin II,China,Mandarin,2022,626.4
57,58,The Passion of the Christ,United States,Aramaic,2004,612.0
58,59,Operation Red Sea,China,Mandarin,2018,579.0
59,60,The Mermaid,China,Mandarin,2016,553.0
60,61,Detective Chinatown 2,China,Mandarin,2018,544.0
61,62,Demon Slayer the Movie: Mugen Train,Japan,Japanese,2020,503.0
62,63,The Eight Hundred,China,Mandarin,2020,461.4
63,64,Dying to Survive,China,Mandarin,2018,451.0
64,65,"My People, My Country",China,Mandarin,2019,450.0
65,66,The Intouchables,France,French,2011,427.0
66,67,"My People, My Homeland",China,Mandarin,2020,422.0
67,68,The Captain,China,Mandarin,2019,417.0
68,69,Too Cool to Kill,China,Mandarin,2022,410.0
69,70,Spirited Away,Japan,Japanese,2001,396.0
70,71,Monster Hunt,China,Mandarin,2015,387.0
71,72,Your Name,Japan,Japanese,2016,380.0
72,73,Hello Mr. Billionaire,China,Mandarin,2018,371.0
73,74,Monster Hunt 2,China,Mandarin,2018,362.0
74,75,Dangal,India,Hindi,2016,340.0
75,76,Never Say Die,China,Mandarin,2017,334.0
76,77,Crazy Alien,China,Mandarin,2019,327.0
77,78,Mulan: Rise of a Warrior,China,Mandarin,2009,304.0
78,79,The Ex-File 3: The Return of the Exes,China,Mandarin,2017,303.0
79,80,Baahubali 2: The Conclusion,India,Telugu,2017,278.0
80,81,Mojin: The Lost Legend,China,Mandarin,2015,259.0
81,82,Parasite,South Korea,Korean,2019,259.0
82,83,Kung Fu Yoga,China,Mandarin,2017,258.0
83,84,Lost in Hong Kong,China,Mandarin,2015,256.0
84,85,Pegasus,China,Mandarin,2019,256.0
85,86,Journey to the West: The Demons Strike Back,China,Mandarin,2017,248.0
86,87,The Bravest,China,Mandarin,2019,245.2
87,88,Welcome to the Sticks,France,French,2008,245.0
88,89,Jiang Ziya,China,Mandarin,2020,243.0
89,90,Ip Man 4: The Finale,Hong Kong,Cantonese,2019,239.0
90,91,Howl's Moving Castle,Japan,Japanese,2004,235.0
91,92,Life Is Beautiful,Italy,Italian,1997,230.0
92,93,Goodbye Mr. Loser,China,Mandarin,2015,228.0
93,94,Youth,China,Mandarin,2017,227.0
94,95,Shock Wave 2,Hong Kong,Cantonese,2020,226.0
95,96,Better Days,China,Mandarin,2019,226.0
96,97,Raging Fire,Hong Kong,Cantonese,2021,225.0
97,98,"My Country, My Parents",China,Mandarin,2021,221.0
98,99,A Little Red Flower,China,Mandarin,2020,216.0
99,100,"Crouching Tiger, Hidden Dragon",China,Mandarin,2000,214.0
